gene,drug_class,coverage,matching_kmers,total_kmers,biosample_id
blaOXA-94_1_DQ519088,beta-lactam,0.377,599,1590,54443334
blaOXA-95_1_DQ519089,beta-lactam,0.393,625,1590,54443334
blaOXA-106_1_EF650032,beta-lactam,0.316,502,1590,54443334
blaOXA-107_1_LAVJ01000082,beta-lactam,0.313,498,1590,54443334
blaOXA-108_1_EF650034,beta-lactam,0.367,584,1590,54443334
blaOXA-109_1_EF650035,beta-lactam,0.481,764,1590,54443334
blaOXA-110_1_EF650036,beta-lactam,0.321,510,1590,54443334
blaOXA-112_1_EF650038,beta-lactam,0.301,479,1590,54443334
blaOXA-115_1_EU029998,beta-lactam,0.461,733,1590,54443334
blaOXA-120_1_EU255289,beta-lactam,0.317,504,1590,54443334
blaOXA-126_1_EU255295,beta-lactam,0.367,584,1590,54443334
blaOXA-127_1_EU255296,beta-lactam,0.481,764,1590,54443334
blaOXA-130_1_EU547445,beta-lactam,0.387,615,1590,54443334
blaOXA-131_1_EU547446,beta-lactam,0.461,733,1590,54443334
blaOXA-138_1_EU670845,beta-lactam,0.471,749,1590,54443334
blaOXA-146_1_FJ194494,beta-lactam,0.481,765,1590,54443334
blaOXA-165_1_HM488986,beta-lactam,0.48,761,1584,54443334
blaOXA-166_1_HM488987,beta-lactam,0.48,761,1584,54443334
blaOXA-167_1_HM488988,beta-lactam,0.48,761,1584,54443334
blaOXA-168_1_HM488989,beta-lactam,0.48,761,1584,54443334
blaOXA-169_1_HM488990,beta-lactam,0.48,761,1584,54443334
blaOXA-170_1_HM488991,beta-lactam,0.48,761,1584,54443334
blaOXA-171_1_HM488992,beta-lactam,0.48,761,1584,54443334
blaOXA-172_1_HM113558,beta-lactam,0.461,733,1590,54443334
blaOXA-173_1_HM113559,beta-lactam,0.453,721,1590,54443334
blaOXA-174_1_HM113560,beta-lactam,0.469,746,1590,54443334
blaOXA-175_1_HM113561,beta-lactam,0.461,733,1590,54443334
blaOXA-176_1_HM113562,beta-lactam,0.461,733,1590,54443334
blaOXA-177_1_HM113563,beta-lactam,0.461,733,1590,54443334
blaOXA-178_1_HM113564,beta-lactam,0.461,733,1590,54443334
blaOXA-180_1_HM570036,beta-lactam,0.31,493,1590,54443334
blaOXA-194_1_HQ425492,beta-lactam,0.467,743,1590,54443334
blaOXA-195_1_HQ425493,beta-lactam,0.417,663,1590,54443334
blaOXA-196_1_HQ425494,beta-lactam,0.455,723,1590,54443334
blaOXA-197_1_HQ425495,beta-lactam,0.448,712,1590,54443334
blaOXA-200_1_HQ734811,beta-lactam,0.372,592,1590,54443334
blaOXA-201_1_HQ734812,beta-lactam,0.461,733,1590,54443334
blaOXA-202_1_HQ734813,beta-lactam,0.481,764,1590,54443334
blaOXA-206_1_AB634250,beta-lactam,0.481,764,1590,54443334
blaOXA-225_1_JN638887,beta-lactam,0.48,761,1584,54443334
blaOXA-234_1_NG_050607,beta-lactam,0.481,764,1590,54443334
blaOXA-239_1_JQ837239,beta-lactam,0.455,721,1584,54443334
blaOXA-248_1_HE963769,beta-lactam,0.321,510,1590,54443334
blaOXA-249_1_HE963770,beta-lactam,0.367,584,1590,54443334
blaOXA-250_1_HE963771,beta-lactam,0.303,481,1590,54443334
blaOXA-254_1_AB781687,beta-lactam,0.481,764,1590,54443334
blaOXA-371_1_AB871653,beta-lactam,0.301,479,1590,54443334
blaADC-25_1_EF016355,beta-lactam,0.464,1041,2244,54443334
blaOXA-545_1_KY674541,beta-lactam,0.396,629,1590,54443334
blaOXA-556_1_KY126231,beta-lactam,0.302,480,1590,54443334
blaOXA-557_1_KY126232,beta-lactam,0.383,609,1590,54443334
blaOXA-565_1_KY883665,beta-lactam,0.333,528,1584,54443334
blaOXA-315_1_KF057032,beta-lactam,0.376,598,1590,54443334
blaOXA-316_1_KF057033,beta-lactam,0.366,582,1590,54443334
blaOXA-260_1_APOR01000009,beta-lactam,0.489,778,1590,54443334
blaOXA-103_1_APQF01000011,beta-lactam,0.336,533,1584,54443334
msr(E)_1_FR751518,macrolide,0.5,1446,2892,54443334
mph(E)_1_DQ839391,macrolide,0.5,855,1710,54443334
mph(E)_2_JF769133,macrolide,0.482,824,1710,54443334
sul2_1_AF542061,sulfonamide,0.943,1482,1572,54443334
sul2_2_AY034138,sulfonamide,1.0,1572,1572,54443334
sul2_3_HQ840942,sulfonamide,0.889,1398,1572,54443334
sul2_5_AY524415,sulfonamide,0.692,1088,1572,54443334
sul2_6_FN995456,sulfonamide,0.921,1448,1572,54443334
sul2_7_HM486907,sulfonamide,0.917,1508,1644,54443334
sul2_8_AJ877041,sulfonamide,0.917,1508,1644,54443334
sul2_9_FJ197818,sulfonamide,0.955,1570,1644,54443334
sul2_10_AM183225,sulfonamide,0.921,1454,1578,54443334
sul2_11_AY232670,sulfonamide,0.961,1510,1572,54443334
sul2_12_AF497970,sulfonamide,0.961,1510,1572,54443334
sul2_13_AJ289135,sulfonamide,0.959,1508,1572,54443334
sul2_14_AJ514834,sulfonamide,0.986,1556,1578,54443334
sul2_15_FJ968160,sulfonamide,0.961,1510,1572,54443334
sul2_17_U57647,sulfonamide,0.961,1510,1572,54443334
sul2_18_AJ830714,sulfonamide,0.961,1510,1572,54443334
sul2_19_AJ319822,sulfonamide,0.961,1510,1572,54443334
sul2_20_AJ830710,sulfonamide,0.961,1510,1572,54443334
sul2_21_AB366440,sulfonamide,0.889,1398,1572,54443334
tet(B)_1_AP000342,tetracycline,0.497,1170,2352,54443334
tet(B)_2_AF326777,tetracycline,0.484,1139,2352,54443334
tet(B)_3_AJ277653,tetracycline,0.445,1046,2352,54443334
aph(3')-IIb_2_CP006832,aminoglycoside,0.443,688,1554,40889899
aph(3')-IIb_1_X90856,aminoglycoside,0.357,555,1554,40889899
blaOXA-395_1_AY306133,beta-lactam,0.347,527,1518,40889899
blaOXA-396_1_AY306134,beta-lactam,0.404,613,1518,40889899
blaOXA-485_1_LLNM01000004,beta-lactam,0.381,578,1518,40889899
blaOXA-486_1_AY597426,beta-lactam,0.373,566,1518,40889899
blaOXA-488_1_CP017969,beta-lactam,0.337,512,1518,40889899
blaOXA-494_1_AY597430,beta-lactam,0.393,597,1518,40889899
blaOXA-50_1_AY306130,beta-lactam,0.416,631,1518,40889899
blaPAO_1_AY083595,beta-lactam,0.375,874,2328,40889899
blaPAO_2_FJ666065,beta-lactam,0.389,905,2328,40889899
blaPAO_3_FJ666073,beta-lactam,0.389,905,2328,40889899
blaPAO_4_AY083592,beta-lactam,0.429,998,2328,40889899
fosA_4_ACWU01000146,fosfomycin,0.459,347,756,40889899
catB7_1_AF036933,phenicol,0.322,392,1218,40889899
aph(2'')-Ia_2_AP009486,aminoglycoside,0.485,1402,2892,54448200
aph(2'')-Ia_3_AJ536195,aminoglycoside,0.489,1379,2820,54448200
aac(6')-aph(2'')_1_M13771,aminoglycoside,0.5,1410,2820,54448200
lsa(A)_1_AY225127,macrolide,0.641,1880,2934,54448200
lsa(A)_3_AY737526,macrolide,0.683,2004,2934,54448200
lnu(G)_1_KX470419,macrolide,0.5,774,1548,54448200
tet(M)_1_X92947,tetracycline,0.349,1320,3780,54448200
tet(M)_2_X90939,tetracycline,0.36,1362,3780,54448200
tet(M)_3_U08812,tetracycline,0.363,1372,3780,54448200
tet(M)_4_X75073,tetracycline,0.379,1434,3780,54448200
tet(M)_5_U58985,tetracycline,0.366,1384,3780,54448200
tet(M)_9_X56353,tetracycline,0.332,1254,3780,54448200
tet(M)_12_FR671418,tetracycline,0.345,1303,3780,54448200
tet(M)_13_AM990992,tetracycline,0.347,1312,3780,54448200
tet(L)_2_M29725,tetracycline,0.5,1347,2694,54448200
tet(L)_3_M11036,tetracycline,0.477,1284,2694,54448200
tet(L)_4_D00006,tetracycline,0.488,1316,2694,54448200
tet(L)_7_X60828,tetracycline,0.413,1113,2694,54448200
tet(L)_8_AY081910,tetracycline,0.488,1316,2694,54448200
tet(L)_9_CP068241,tetracycline,0.488,1316,2694,54448200
tet(S/M)_1_HM367711,tetracycline,0.308,1172,3810,54448200
aph(6)-Id_1_M28829,aminoglycoside,0.5,807,1614,54738200
aph(6)-Id_3_AB109805,aminoglycoside,0.462,745,1614,54738200
aph(6)-Id_4_CP000971,aminoglycoside,0.481,770,1602,54738200
aph(6)-Id_5_18676889,aminoglycoside,0.481,776,1614,54738200
aph(3'')-Ib_1_M28829,aminoglycoside,0.458,709,1548,54738200
aph(3'')-Ib_3_AF321550,aminoglycoside,0.48,743,1548,54738200
aph(3'')-Ib_4_AF313472,aminoglycoside,0.48,743,1548,54738200
aph(3')-Ia_3_EF015636,aminoglycoside,0.48,754,1572,54738200
aph(3')-Ia_4_AF498082,aminoglycoside,0.381,575,1508,54738200
aph(3')-Ia_5_AP004237,aminoglycoside,0.365,573,1572,54738200
aph(3')-Ia_6_L05392,aminoglycoside,0.32,503,1572,54738200
aph(3')-Ia_7_X62115,aminoglycoside,0.361,568,1572,54738200
aph(3')-Ia_8_Y00452,aminoglycoside,0.35,550,1572,54738200
aph(3')-Ia_9_EU722351,aminoglycoside,0.361,568,1572,54738200
aph(3')-Ia_10_EU855787,aminoglycoside,0.408,642,1572,54738200
aph(3')-Ia_1_V00359,aminoglycoside,0.38,598,1572,54738200
aph(3'')-Ib_2_AF024602,aminoglycoside,0.499,773,1548,54738200
aph(3'')-Ib_5_AF321551,aminoglycoside,0.48,743,1548,54738200
aph(6)-Id_2_AF024602,aminoglycoside,0.481,776,1614,54738200
blaTEM-1A_1_HM749966,beta-lactam,0.433,720,1662,54738200
blaTEM-1B_1_AY458016,beta-lactam,0.481,800,1662,54738200
blaTEM-1C_1_FJ560503,beta-lactam,0.452,751,1662,54738200
blaTEM-1D_1_AF188200,beta-lactam,0.396,658,1662,54738200
blaTEM-2_1_X54606,beta-lactam,0.378,629,1662,54738200
blaTEM-2_2_AJ251946,beta-lactam,0.363,604,1662,54738200
blaTEM-3_1_X64523,beta-lactam,0.353,587,1662,54738200
blaTEM-6_1_X57972,beta-lactam,0.396,658,1662,54738200
blaTEM-8_1_X65252,beta-lactam,0.347,577,1662,54738200
blaTEM-10_1_AF093512,beta-lactam,0.444,738,1662,54738200
blaTEM-11_1_AY874537,beta-lactam,0.372,618,1662,54738200
blaTEM-12_1_M88143,beta-lactam,0.39,648,1662,54738200
blaTEM-15_1_AM849805,beta-lactam,0.444,738,1662,54738200
blaTEM-16_1_X65254,beta-lactam,0.353,587,1662,54738200
blaTEM-17_1_Y14574,beta-lactam,0.353,586,1662,54738200
blaTEM-20_1_EU527189,beta-lactam,0.415,689,1662,54738200
blaTEM-21_1_Y17582,beta-lactam,0.34,565,1662,54738200
blaTEM-22_1_Y17583,beta-lactam,0.352,585,1662,54738200
blaTEM-24_1_GQ293500,beta-lactam,0.35,582,1662,54738200
blaTEM-28_1_U37195,beta-lactam,0.444,738,1662,54738200
blaTEM-29_1_DQ269440,beta-lactam,0.452,751,1662,54738200
blaTEM-30_1_AJ437107,beta-lactam,0.463,769,1662,54738200
blaTEM-33_1_GU371926,beta-lactam,0.463,769,1662,54738200
blaTEM-34_1_KC292503,beta-lactam,0.463,769,1662,54738200
blaTEM-43_1_U95363,beta-lactam,0.415,689,1662,54738200
blaTEM-45_1_X95401,beta-lactam,0.359,596,1662,54738200
blaTEM-47_1_Y10279,beta-lactam,0.4,665,1662,54738200
blaTEM-48_1_Y10280,beta-lactam,0.352,585,1662,54738200
blaTEM-49_1_Y10281,beta-lactam,0.347,577,1662,54738200
blaTEM-52C_2_EF141186,beta-lactam,0.396,658,1662,54738200
blaTEM-52B_1_AF027199,beta-lactam,0.425,707,1662,54738200
blaTEM-53_1_AF104441,beta-lactam,0.371,617,1662,54738200
blaTEM-54_1_AF104442,beta-lactam,0.415,689,1662,54738200
blaTEM-55_1_DQ286729,beta-lactam,0.46,764,1662,54738200
blaTEM-57_1_FJ405211,beta-lactam,0.452,751,1662,54738200
blaTEM-60_1_AF047171,beta-lactam,0.316,525,1662,54738200
blaTEM-63_1_AF332513,beta-lactam,0.342,569,1662,54738200
blaTEM-67_1_AF091113,beta-lactam,0.357,594,1662,54738200
blaTEM-68_1_AJ239002,beta-lactam,0.382,635,1662,54738200
blaTEM-70_1_AF188199,beta-lactam,0.463,769,1662,54738200
blaTEM-71_1_AF203816,beta-lactam,0.389,647,1662,54738200
blaTEM-72_1_AF157553,beta-lactam,0.353,587,1662,54738200
blaTEM-76_1_AF190694,beta-lactam,0.463,769,1662,54738200
blaTEM-77_1_AF190695,beta-lactam,0.444,738,1662,54738200
blaTEM-78_1_AF190693,beta-lactam,0.351,583,1662,54738200
blaTEM-79_1_AF190692,beta-lactam,0.444,738,1662,54738200
blaTEM-80_1_AF347054,beta-lactam,0.383,637,1662,54738200
blaTEM-81_1_AF427127,beta-lactam,0.402,668,1662,54738200
blaTEM-82_1_AF427128,beta-lactam,0.397,660,1662,54738200
blaTEM-83_1_AF427129,beta-lactam,0.35,581,1662,54738200
blaTEM-84_1_AF427130,beta-lactam,0.377,627,1662,54738200
blaTEM-85_1_AJ277414,beta-lactam,0.348,578,1662,54738200
blaTEM-86_1_AJ277415,beta-lactam,0.344,572,1662,54738200
blaTEM-87_1_AF250872,beta-lactam,0.353,586,1662,54738200
blaTEM-88_1_AY027590,beta-lactam,0.407,676,1662,54738200
blaTEM-90_1_AF351241,beta-lactam,0.415,689,1662,54738200
blaTEM-91_1_AB049569,beta-lactam,0.396,658,1662,54738200
blaTEM-92_1_AF143804,beta-lactam,0.352,585,1662,54738200
blaTEM-93_1_AJ318093,beta-lactam,0.394,655,1662,54738200
blaTEM-94_1_AJ318094,beta-lactam,0.315,523,1662,54738200
blaTEM-95_1_AJ308558,beta-lactam,0.463,769,1662,54738200
blaTEM-96_1_AY092401,beta-lactam,0.418,695,1662,54738200
blaTEM-97_1_AF397067,beta-lactam,0.428,712,1662,54738200
blaTEM-98_1_AF397068,beta-lactam,0.428,712,1662,54738200
blaTEM-99_1_AF397066,beta-lactam,0.447,743,1662,54738200
blaTEM-101_1_AF495873,beta-lactam,0.353,586,1662,54738200
blaTEM-102_1_AY040093,beta-lactam,0.379,630,1662,54738200
blaTEM-104_1_AF516719,beta-lactam,0.462,768,1662,54738200
blaTEM-105_1_AF516720,beta-lactam,0.463,769,1662,54738200
blaTEM-106_1_AY101578,beta-lactam,0.444,738,1662,54738200
blaTEM-107_1_AY101764,beta-lactam,0.407,676,1662,54738200
blaTEM-108_1_AF506748,beta-lactam,0.396,658,1662,54738200
blaTEM-109_1_AY628175,beta-lactam,0.407,676,1662,54738200
blaTEM-110_1_AY072920,beta-lactam,0.359,596,1662,54738200
blaTEM-111_1_AF468003,beta-lactam,0.353,586,1662,54738200
blaTEM-112_1_AY589493,beta-lactam,0.396,658,1662,54738200
blaTEM-113_1_AY589494,beta-lactam,0.316,525,1662,54738200
blaTEM-114_1_AY589495,beta-lactam,0.364,605,1662,54738200
blaTEM-115_1_AF535127,beta-lactam,0.389,647,1662,54738200
blaTEM-116_1_AY425988,beta-lactam,0.405,673,1662,54738200
blaTEM-120_1_AY243512,beta-lactam,0.377,627,1662,54738200
blaTEM-121_1_AY307374,beta-lactam,0.343,570,1662,54738200
blaTEM-122_1_AY307100,beta-lactam,0.452,751,1662,54738200
blaTEM-123_1_AY327539,beta-lactam,0.361,597,1656,54738200
blaTEM-124_1_AY327540,beta-lactam,0.402,666,1656,54738200
blaTEM-125_1_AY628176,beta-lactam,0.318,528,1662,54738200
blaTEM-126_1_AY628199,beta-lactam,0.458,761,1662,54738200
blaTEM-127_1_AY368236,beta-lactam,0.463,769,1662,54738200
blaTEM-130_1_AJ866988,beta-lactam,0.357,594,1662,54738200
blaTEM-131_1_AY436361,beta-lactam,0.328,524,1600,54738200
blaTEM-132_1_AY491682,beta-lactam,0.428,712,1662,54738200
blaTEM-133_1_AY528425,beta-lactam,0.371,617,1662,54738200
blaTEM-134_1_AY574271,beta-lactam,0.347,576,1662,54738200
blaTEM-135_1_GQ896333,beta-lactam,0.452,751,1662,54738200
blaTEM-136_1_AY826417,beta-lactam,0.411,683,1662,54738200
blaTEM-137_1_AM286274,beta-lactam,0.385,640,1662,54738200
blaTEM-138_1_AY853593,beta-lactam,0.352,585,1662,54738200
blaTEM-139_1_DQ072853,beta-lactam,0.363,604,1662,54738200
blaTEM-141_1_AY956335,beta-lactam,0.452,751,1662,54738200
blaTEM-142_1_DQ388882,beta-lactam,0.352,585,1662,54738200
blaTEM-143_1_DQ075245,beta-lactam,0.463,769,1662,54738200
blaTEM-145_1_DQ105528,beta-lactam,0.409,679,1662,54738200
blaTEM-146_1_DQ105529,beta-lactam,0.396,658,1662,54738200
blaTEM-147_1_DQ279850,beta-lactam,0.471,782,1662,54738200
blaTEM-148_1_AM087454,beta-lactam,0.463,769,1662,54738200
blaTEM-149_1_DQ369751,beta-lactam,0.348,579,1662,54738200
blaTEM-150_1_AM183304,beta-lactam,0.415,689,1662,54738200
blaTEM-151_1_DQ834729,beta-lactam,0.342,568,1662,54738200
blaTEM-152_1_DQ834728,beta-lactam,0.347,577,1662,54738200
blaTEM-153_1_KC149518,beta-lactam,0.396,658,1662,54738200
blaTEM-154_1_FJ807656,beta-lactam,0.397,660,1662,54738200
blaTEM-155_1_DQ679961,beta-lactam,0.378,629,1662,54738200
blaTEM-156_1_AM941159,beta-lactam,0.415,689,1662,54738200
blaTEM-157_1_DQ909059,beta-lactam,0.384,639,1662,54738200
blaTEM-158_1_EF534736,beta-lactam,0.425,707,1662,54738200
blaTEM-159_1_EF136376,beta-lactam,0.359,596,1662,54738200
blaTEM-160_1_EF136377,beta-lactam,0.36,598,1662,54738200
blaTEM-162_1_EF468463,beta-lactam,0.312,518,1662,54738200
blaTEM-163_1_EU815939,beta-lactam,0.447,743,1662,54738200
blaTEM-164_1_EU274580,beta-lactam,0.444,738,1662,54738200
blaTEM-166_1_FJ197316,beta-lactam,0.463,769,1662,54738200
blaTEM-167_1_FJ360884,beta-lactam,0.352,585,1662,54738200
blaTEM-168_1_FJ919776,beta-lactam,0.415,689,1662,54738200
blaTEM-171_1_GQ149347,beta-lactam,0.424,704,1662,54738200
blaTEM-176_1_GU550123,beta-lactam,0.5,831,1662,54738200
blaTEM-177_1_FN652295,beta-lactam,0.332,551,1662,54738200
blaTEM-178_1_X97254,beta-lactam,0.302,500,1656,54738200
blaTEM-182_1_HQ317449,beta-lactam,0.425,707,1662,54738200
blaTEM-183_1_HQ529916,beta-lactam,0.423,703,1662,54738200
blaTEM-184_1_FR848831,beta-lactam,0.357,594,1662,54738200
blaTEM-185_1_JF795538,beta-lactam,0.388,645,1662,54738200
blaTEM-186_1_JN227084,beta-lactam,0.463,769,1662,54738200
blaTEM-187_1_HM246246,beta-lactam,0.332,550,1656,54738200
blaTEM-188_1_JN211012,beta-lactam,0.371,616,1662,54738200
blaTEM-189_1_JN254627,beta-lactam,0.397,660,1662,54738200
blaTEM-190_1_JN416112,beta-lactam,0.351,583,1662,54738200
blaTEM-193_1_JN935135,beta-lactam,0.312,519,1662,54738200
blaTEM-195_1_JN935137,beta-lactam,0.307,511,1662,54738200
blaTEM-197_1_HQ877606,beta-lactam,0.377,627,1662,54738200
blaTEM-198_1_AB700703,beta-lactam,0.463,769,1662,54738200
blaTEM-201_1_JX310327,beta-lactam,0.444,738,1662,54738200
blaTEM-205_1_KC900516,beta-lactam,0.339,564,1662,54738200
blaTEM-206_1_KC783461,beta-lactam,0.466,775,1662,54738200
blaTEM-207_1_KC818234,beta-lactam,0.463,769,1662,54738200
blaTEM-208_1_KC865667,beta-lactam,0.463,769,1662,54738200
blaTEM-209_1_KF240808,beta-lactam,0.452,751,1662,54738200
blaTEM-211_1_KF513179,beta-lactam,0.326,541,1662,54738200
blaTEM-52_1_Y13612,beta-lactam,0.377,627,1662,54738200
blaTEM-40_1_FR717535,beta-lactam,0.433,720,1662,54738200
blaTEM-36_1_KY305958,beta-lactam,0.444,738,1662,54738200
blaTEM-35_1_KP860986,beta-lactam,0.444,738,1662,54738200
blaTEM-32_1_CXLQ01000061,beta-lactam,0.415,689,1662,54738200
blaTEM-26_1_LDCJ01000052,beta-lactam,0.396,658,1662,54738200
blaTEM-19_1_JX042489,beta-lactam,0.389,647,1662,54738200
blaTEM-9_1_KY271103,beta-lactam,0.334,555,1662,54738200
blaTEM-4_1_LK391770,beta-lactam,0.333,554,1662,54738200
blaTEM-169_1_KP012538,beta-lactam,0.433,720,1662,54738200
blaTEM-144_1_AM049400,beta-lactam,0.444,738,1662,54738200
blaTEM-129_1_AJ746225,beta-lactam,0.365,606,1662,54738200
blaTEM-128_1_AY368237,beta-lactam,0.463,769,1662,54738200
blaTEM-181_1_KM977568,beta-lactam,0.415,689,1662,54738200
blaTEM-191_1_KY432484,beta-lactam,0.391,650,1662,54738200
blaTEM-196_1_JQ034306,beta-lactam,0.444,738,1662,54738200
blaTEM-210_1_KJ484630,beta-lactam,0.444,738,1662,54738200
blaTEM-212_1_KF481968,beta-lactam,0.377,627,1662,54738200
blaTEM-213_1_LJEE02000034,beta-lactam,0.463,769,1662,54738200
blaTEM-214_1_KP050491,beta-lactam,0.463,769,1662,54738200
blaTEM-215_1_KP050492,beta-lactam,0.463,769,1662,54738200
blaTEM-216_1_KF944358,beta-lactam,0.448,744,1662,54738200
blaTEM-217_1_HG934763,beta-lactam,0.463,769,1662,54738200
blaTEM-219_1_KM114268,beta-lactam,0.425,707,1662,54738200
blaTEM-220_1_KM998962,beta-lactam,0.458,761,1662,54738200
blaTEM-224_1_KU664545,beta-lactam,0.345,573,1662,54738200
blaTEM-225_1_KY432403,beta-lactam,0.377,627,1662,54738200
blaTEM-226_1_KY646301,beta-lactam,0.463,769,1662,54738200
blaTEM-227_1_KY418040,beta-lactam,0.32,532,1662,54738200
blaTEM-229_1_MG821356,beta-lactam,0.386,642,1662,54738200
blaTEM-230_1_MG821377,beta-lactam,0.444,738,1662,54738200
blaTEM-231_1_MG821378,beta-lactam,0.415,689,1662,54738200
blaTEM-232_1_MH079593,beta-lactam,0.444,738,1662,54738200
blaTEM-233_1_MH270416,beta-lactam,0.402,668,1662,54738200
blaTEM-234_1_MH243353,beta-lactam,0.463,769,1662,54738200
floR_1_AF071555,phenicol,0.362,859,2370,54738200
floR_2_AF118107,phenicol,0.389,921,2370,54738200
FloR_4_CP136914,phenicol,0.461,1092,2370,54738200
FloR_3_CP029595,phenicol,0.402,952,2370,54738200
FloR_5_CP030849,phenicol,0.389,921,2370,54738200
FloR_7_CP125947,phenicol,0.377,893,2370,54738200
FloR_8_KU548456,phenicol,0.407,965,2370,54738200
FloR_9_CP042967,phenicol,0.338,802,2370,54738200
FloR_10_CP020121,phenicol,0.351,833,2370,54738200
FloR_11_MG879028,phenicol,0.3,711,2370,54738200
qnrS1_1_AB187515,quinolone,1.0,1254,1254,54738200
qnrS3_1_EU077611,quinolone,0.951,1192,1254,54738200
qnrS4_1_FJ418153,quinolone,0.951,1192,1254,54738200
qnrS5_1_HQ631377,quinolone,0.375,470,1254,54738200
qnrS7_1_KF730651,quinolone,0.951,1192,1254,54738200
qnrS8_1_KF730652,quinolone,0.951,1192,1254,54738200
qnrS9_1_KF732714,quinolone,0.951,1192,1254,54738200
qnrS10_1_JN836269,quinolone,0.978,1226,1254,54738200
qnrS11_1_JQ269335,quinolone,0.951,1192,1254,54738200
qnrS12_1_MKQI01000097,quinolone,0.901,1130,1254,54738200
qnrS13_1_LUYD01000008,quinolone,0.951,1192,1254,54738200
sul2_1_AF542061,sulfonamide,0.471,741,1572,54738200
sul2_2_AY034138,sulfonamide,0.5,786,1572,54738200
sul2_3_HQ840942,sulfonamide,0.445,699,1572,54738200
sul2_5_AY524415,sulfonamide,0.346,544,1572,54738200
sul2_6_FN995456,sulfonamide,0.461,724,1572,54738200
sul2_7_HM486907,sulfonamide,0.464,762,1644,54738200
sul2_8_AJ877041,sulfonamide,0.464,762,1644,54738200
sul2_9_FJ197818,sulfonamide,0.482,793,1644,54738200
sul2_10_AM183225,sulfonamide,0.461,727,1578,54738200
sul2_11_AY232670,sulfonamide,0.48,755,1572,54738200
sul2_12_AF497970,sulfonamide,0.48,755,1572,54738200
sul2_13_AJ289135,sulfonamide,0.48,754,1572,54738200
sul2_14_AJ514834,sulfonamide,0.493,778,1578,54738200
sul2_15_FJ968160,sulfonamide,0.48,755,1572,54738200
sul2_17_U57647,sulfonamide,0.48,755,1572,54738200
sul2_18_AJ830714,sulfonamide,0.48,755,1572,54738200
sul2_19_AJ319822,sulfonamide,0.48,755,1572,54738200
sul2_20_AJ830710,sulfonamide,0.48,755,1572,54738200
sul2_21_AB366440,sulfonamide,0.445,699,1572,54738200
tet(A)_1_AJ313332,tetracycline,0.462,1080,2340,54738200
tet(A)_2_X00006,tetracycline,0.403,942,2340,54738200
tet(A)_3_AY196695,tetracycline,0.432,1012,2340,54738200
tet(A)_4_AJ517790,tetracycline,0.488,1142,2340,54738200
tet(A)_5_AJ419171,tetracycline,0.461,1079,2340,54738200
tet(A)_6_AF534183,tetracycline,0.5,1245,2490,54738200
tet(B)_1_AP000342,tetracycline,0.974,2290,2352,54738200
tet(B)_2_AF326777,tetracycline,1.0,2352,2352,54738200
tet(B)_3_AJ277653,tetracycline,0.868,2042,2352,54738200
dfrA14_5_DQ388123,trimethoprim,0.872,790,906,54738200
dfrA14_2_Z50805,trimethoprim,0.82,728,888,54738200
dfrA14_1_KF921535,trimethoprim,1.0,888,888,54738200
dfrA14_3_Z50804,trimethoprim,0.793,704,888,54738200
dfrA14_4_AF393510,trimethoprim,0.959,852,888,54738200
ant(2'')-Ia_2_JF826500,aminoglycoside,0.398,401,1008,40889887
ant(2'')-Ia_3_X74412,aminoglycoside,0.341,344,1008,40889887
ant(2'')-Ia_6_AJ871915,aminoglycoside,0.429,432,1008,40889887
ant(2'')-Ia_7_DQ018384,aminoglycoside,0.369,372,1008,40889887
ant(2'')-Ia_8_AY920928,aminoglycoside,0.359,362,1008,40889887
ant(2'')-Ia_9_HM367610,aminoglycoside,0.398,401,1008,40889887
ant(2'')-Ia_10_HM367617,aminoglycoside,0.395,398,1008,40889887
ant(2'')-Ia_11_HM367620,aminoglycoside,0.367,370,1008,40889887
ant(2'')-Ia_12_HQ880250,aminoglycoside,0.356,359,1008,40889887
ant(2'')-Ia_13_DQ176450,aminoglycoside,0.459,463,1008,40889887
ant(2'')-Ia_14_DQ266447,aminoglycoside,0.341,344,1008,40889887
ant(2'')-Ia_15_EF205594,aminoglycoside,0.341,344,1008,40889887
ant(2'')-Ia_16_HQ386848,aminoglycoside,0.37,373,1008,40889887
ant(2'')-Ia_17_JTTZ01000034,aminoglycoside,0.367,370,1008,40889887
ant(2'')-Ia_19_GQ466184,aminoglycoside,0.459,463,1008,40889887
ant(2'')-Ia_20_AY139599,aminoglycoside,0.355,358,1008,40889887
ant(2'')-Ia_1_X04555,aminoglycoside,0.372,375,1008,40889887
aph(3')-IIb_2_CP006832,aminoglycoside,0.364,566,1554,40889887
ant(3'')-Ia_1_X02340,aminoglycoside,0.427,804,1884,40889887
aadA1_2_FJ591054,aminoglycoside,0.395,602,1524,40889887
aadA1_3_JQ414041,aminoglycoside,0.472,720,1524,40889887
aadA1b_1_M95287,aminoglycoside,0.411,627,1524,40889887
aadA1_4_JQ480156,aminoglycoside,0.462,701,1518,40889887
aadA1_5_JX185132,aminoglycoside,0.472,720,1524,40889887
aadA15_1_DQ393783,aminoglycoside,0.331,504,1524,40889887
aadA21_1_AY171244,aminoglycoside,0.374,570,1524,40889887
aadA22_1_AM261837,aminoglycoside,0.387,590,1524,40889887
aadA23_1_AJ809407,aminoglycoside,0.381,571,1500,40889887
aph(3')-IIb_1_X90856,aminoglycoside,0.33,513,1554,40889887
